city,state,latitude,longitude
New York,NY,40.71,-74.01
Los Angeles,CA,34.05,-118.24
Chicago,IL,41.88,-87.63
Houston,TX,29.76,-95.37
Phoenix,AZ,33.45,-112.07
Philadelphia,PA,39.95,-75.17
San Antonio,TX,29.42,-98.49
San Diego,CA,32.72,-117.16
Dallas,TX,32.78,-96.8
San Jose,CA,37.34,-121.89
Austin,TX,30.27,-97.74
Jacksonville,FL,30.33,-81.66
Fort Worth,TX,32.75,-97.33
Columbus,OH,39.96,-82.99
Charlotte,NC,35.23,-80.84
Indianapolis,IN,39.77,-86.16
San Francisco,CA,37.77,-122.42
Seattle,WA,47.61,-122.33
Denver,CO,39.74,-104.98
Nashville,TN,36.17,-86.78
Oklahoma City,OK,35.47,-97.52
El Paso,TX,31.76,-106.49
Washington,DC,38.91,-77.04
Las Vegas,NV,36.17,-115.14
Louisville,KY,38.25,-85.76
Memphis,TN,35.15,-90.05
Portland,OR,45.52,-122.68
Baltimore,MD,39.29,-76.61
Milwaukee,WI,43.04,-87.91
Albuquerque,NM,35.08,-106.65
Tucson,AZ,32.22,-110.93
Fresno,CA,36.74,-119.79
Sacramento,CA,38.58,-121.49
Mesa,AZ,33.42,-111.83
Kansas City,MO,39.1,-94.58
Atlanta,GA,33.75,-84.39
Omaha,NE,41.26,-95.94
Colorado Springs,CO,38.83,-104.82
Raleigh,NC,35.78,-78.64
Long Beach,CA,33.77,-118.19
Virginia Beach,VA,36.85,-76.29
Minneapolis,MN,44.98,-93.27
Tampa,FL,27.95,-82.46
New Orleans,LA,29.95,-90.07
Arlington,TX,32.74,-97.11
Bakersfield,CA,35.37,-119.02
Honolulu,HI,21.31,-157.86
Anaheim,CA,33.84,-117.91
Aurora,CO,39.73,-104.83
Santa Ana,CA,33.75,-117.87
Corpus Christi,TX,27.8,-97.4
Riverside,CA,33.95,-117.4
Lexington,KY,38.04,-84.5
St. Louis,MO,38.63,-90.2
Pittsburgh,PA,40.44,-79.99
Anchorage,AK,61.22,-149.9
Stockton,CA,37.96,-121.29
Cincinnati,OH,39.1,-84.51
St. Paul,MN,44.95,-93.09
Greensboro,NC,36.07,-79.79
Toledo,OH,41.66,-83.56
Newark,NJ,40.74,-74.17
Plano,TX,33.02,-96.7
Henderson,NV,36.04,-114.98
Orlando,FL,28.54,-81.38
Chandler,AZ,33.31,-111.84
Laredo,TX,27.51,-99.51
Madison,WI,43.07,-89.4
Durham,NC,35.99,-78.9
Lubbock,TX,33.58,-101.86
Winston-Salem,NC,36.1,-80.24
Garland,TX,32.91,-96.64
Glendale,AZ,33.54,-112.19
Hialeah,FL,25.86,-80.28
Reno,NV,39.53,-119.81
Baton Rouge,LA,30.45,-91.15
Irvine,CA,33.68,-117.78
Chesapeake,VA,36.82,-76.29
Irving,TX,32.81,-96.95
Scottsdale,AZ,33.49,-111.93
North Las Vegas,NV,36.2,-115.12
Fremont,CA,37.55,-121.99
Gilbert,AZ,33.35,-111.79
San Bernardino,CA,34.11,-117.29
Birmingham,AL,33.52,-86.8
Rochester,NY,43.16,-77.61
Spokane,WA,47.66,-117.43
Des Moines,IA,41.59,-93.62
Montgomery,AL,32.36,-86.28
Modesto,CA,37.64,-120.99
Fayetteville,NC,35.05,-78.88
Tacoma,WA,47.25,-122.44
Shreveport,LA,32.52,-93.75
